Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P61254	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:1902164]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902167]; positive regulation of translation [GO:0045727]; regulation of translation involved in cellular response to UV [GO:1904803]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P61254
P46776	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P46776
P46779	cell body [GO:0044297]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of protein targeting to mitochondrion [GO:1903955]; regulation of mitophagy [GO:1903146]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P46779
P47914	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; cadherin binding [GO:0045296]; heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; embryo implantation [GO:0007566]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P47914
P39023	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to interleukin-4 [GO:0071353]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P39023
P62888	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; RNA binding [GO:0003723]; selenocysteine insertion sequence binding [GO:0035368]; structural constituent of ribosome [GO:0003735]; liver regeneration [GO:0097421]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of selenocysteine incorporation [GO:1904571]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62888
P62899	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62899
P62910	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to dexamethasone stimulus [GO:0071549]; liver regeneration [GO:0097421]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62910
P42766	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; nucleolus [GO:0005730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P42766
P18077	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; membrane [GO:0016020]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P18077
P61513	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P61513
P63173	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; eukaryotic 80S initiation complex [GO:0033291]; focal adhesion [GO:0005925]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; 90S preribosome assembly [GO:0034463]; axial mesoderm development [GO:0048318]; middle ear morphogenesis [GO:0042474]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ossification [GO:0001503]; regulation of translation [GO:0006417]; rRNA processing [GO:0006364]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P63173
P36578	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P36578
Q02878	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of transcription, DNA-templated [GO:0006355]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	Q02878
P62424	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA [GO:0000470]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62424
P32969	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; ribosome [GO:0005840]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P32969
P11021	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; glycoprotein binding [GO:0001948]; misfolded protein binding [GO:0051787]; protein domain specific binding [GO:0019904]; ribosome binding [GO:0043022]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; activation of signaling protein activity involved in unfolded protein response [GO:0006987]; ATF6-mediated unfolded protein response [GO:0036500]; cellular response to antibiotic [GO:0071236]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to drug [GO:0035690]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-4 [GO:0071353]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; IRE1-mediated unfolded protein response [GO:0036498]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein homodimerization activity [GO:0090074]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of cell migration [GO:0030335]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to cocaine [GO:0042220]; response to methamphetamine hydrochloride [GO:1904313]; response to radiation [GO:0009314]; stress response to metal ion [GO:0097501]; substantia nigra development [GO:0021762]; toxin transport [GO:1901998]; ubiquitin-dependent ERAD pathway [GO:0030433]	P11021
Q02952	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; adenylate cyclase binding [GO:0008179]; protein kinase A binding [GO:0051018]; G-protein coupled receptor signaling pathway [GO:0007186]; positive regulation of cAMP biosynthetic process [GO:0030819]; positive regulation of protein kinase A signaling [GO:0010739]; protein targeting [GO:0006605]; regulation of protein kinase C signaling [GO:0090036]	Q02952
Q9BWD1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; cholesterol biosynthetic process [GO:0006695]; fatty acid beta-oxidation [GO:0006635]; lipid metabolic process [GO:0006629]	Q9BWD1
P24752	extracellular exosome [GO:0070062]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; carbon-carbon lyase activity [GO:0016830]; coenzyme binding [GO:0050662]; enzyme binding [GO:0019899]; ligase activity, forming carbon-carbon bonds [GO:0016885]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA catabolic process [GO:0046356]; adipose tissue development [GO:0060612]; brain development [GO:0007420]; branched-chain amino acid catabolic process [GO:0009083]; coenzyme A biosynthetic process [GO:0015937]; coenzyme A metabolic process [GO:0015936]; fatty acid beta-oxidation [GO:0006635]; isoleucine catabolic process [GO:0006550]; ketone body biosynthetic process [GO:0046951]; ketone body catabolic process [GO:0046952]; ketone body metabolic process [GO:1902224]; liver development [GO:0001889]; metanephric proximal convoluted tubule development [GO:0072229]; propionyl-CoA biosynthetic process [GO:1902860]; protein homooligomerization [GO:0051260]; response to hormone [GO:0009725]; response to organic cyclic compound [GO:0014070]; response to starvation [GO:0042594]	P24752
Q99798	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron ion binding [GO:0005506]; citrate metabolic process [GO:0006101]; generation of precursor metabolites and energy [GO:0006091]; isocitrate metabolic process [GO:0006102]; liver development [GO:0001889]; response to isolation stress [GO:0035900]; tricarboxylic acid cycle [GO:0006099]	Q99798
O15143	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; tubulobulbar complex [GO:0036284]; actin binding [GO:0003779]; protein complex binding [GO:0032403]; structural constituent of cytoskeleton [GO:0005200]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; movement of cell or subcellular component [GO:0006928]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]	O15143
P60709	blood microparticle [GO:0072562]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; myelin sheath [GO:0043209]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; protein complex [GO:0043234]; vesicle [GO:0031982]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; nitric-oxide synthase binding [GO:0050998]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; Tat protein binding [GO:0030957]; ATP-dependent chromatin remodeling [GO:0043044]; cell junction assembly [GO:0034329]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; membrane organization [GO:0061024]; movement of cell or subcellular component [GO:0006928]; platelet aggregation [GO:0070527]; positive regulation of gene expression, epigenetic [GO:0045815]; postsynaptic actin cytoskeleton organization [GO:0098974]; protein deubiquitination [GO:0016579]; retina homeostasis [GO:0001895]; substantia nigra development [GO:0021762]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	P60709
O14561	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process [GO:0000036]; acyl binding [GO:0000035]; calcium ion binding [GO:0005509]; fatty acid binding [GO:0005504]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; phosphopantetheine binding [GO:0031177]; fatty acid beta-oxidation [GO:0006635]; fatty acid biosynthetic process [GO:0006633]; glyoxylate metabolic process [GO:0046487]; lipid A biosynthetic process [GO:0009245]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; protein lipoylation [GO:0009249]	O14561
O00767	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleolus [GO:0005730]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; unsaturated fatty acid biosynthetic process [GO:0006636]	O00767
P13798	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nuclear membrane [GO:0031965]; identical protein binding [GO:0042802]; omega peptidase activity [GO:0008242]; RNA binding [GO:0003723]; serine-type endopeptidase activity [GO:0004252]; beta-amyloid metabolic process [GO:0050435]; neutrophil degranulation [GO:0043312]; proteolysis [GO:0006508]; translational termination [GO:0006415]	P13798
P46108	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein complex [GO:0043234]; cytoskeletal protein binding [GO:0008092]; ephrin receptor binding [GO:0046875]; insulin-like growth factor receptor binding [GO:0005159]; phosphotyrosine binding [GO:0001784]; protein phosphorylated amino acid binding [GO:0045309]; protein self-association [GO:0043621]; protein tyrosine kinase binding [GO:1990782]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; SH3/SH2 adaptor activity [GO:0005070]; activation of MAPKK activity [GO:0000186]; cellular response to endothelin [GO:1990859]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to nitric oxide [GO:0071732]; cellular response to transforming growth factor beta stimulus [GO:0071560]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; negative regulation of cell motility [GO:2000146]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of wound healing [GO:0061045]; positive regulation of cell growth [GO:0030307]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; regulation of protein binding [GO:0043393]; regulation of Rac protein signal transduction [GO:0035020]; regulation of signal transduction [GO:0009966]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to cholecystokinin [GO:0061847]; response to hepatocyte growth factor [GO:0035728]; response to hydrogen peroxide [GO:0042542]; response to yeast [GO:0001878]; SH2 domain-mediated complex assembly [GO:0071538]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	P46108
P55263	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; adenosine salvage [GO:0006169]; AMP salvage [GO:0044209]; dATP biosynthetic process [GO:0006175]; purine-containing compound salvage [GO:0043101]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	P55263
P23526	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; neuron projection [GO:0043005]; nucleus [GO:0005634]; adenosylhomocysteinase activity [GO:0004013]; adenyl nucleotide binding [GO:0030554]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; chronic inflammatory response to antigenic stimulus [GO:0002439]; circadian sleep/wake cycle [GO:0042745]; homocysteine biosynthetic process [GO:0071268]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]; sulfur amino acid metabolic process [GO:0000096]	P23526
O60503	axon [GO:0030424]; dendrite [GO:0030425]; guanylate cyclase complex, soluble [GO:0008074]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; metal ion binding [GO:0046872]; activation of adenylate cyclase activity [GO:0007190]; activation of protein kinase A activity [GO:0034199]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G-protein coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]; cAMP biosynthetic process [GO:0006171]; cellular response to glucagon stimulus [GO:0071377]; cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; renal water homeostasis [GO:0003091]; signal transduction [GO:0007165]	O60503
Q8IWK6	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; G-protein coupled receptor signaling pathway [GO:0007186]	Q8IWK6
P61204	extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; phosphatidylinositol biosynthetic process [GO:0006661]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]; small GTPase mediated signal transduction [GO:0007264]	P61204
P36404	centrosome [GO:0005813]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; nucleolus [GO:0005730]; nucleus [GO:0005634]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTPase inhibitor activity [GO:0005095]; bicellular tight junction assembly [GO:0070830]; cell cycle [GO:0007049]; centrosome organization [GO:0051297]; maintenance of protein location in nucleus [GO:0051457]; negative regulation of GTPase activity [GO:0034260]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of microtubule polymerization [GO:0031116]; regulation of insulin secretion [GO:0050796]; regulation of microtubule polymerization [GO:0031113]; small GTPase mediated signal transduction [GO:0007264]; tubulin complex assembly [GO:0007021]	P36404
Q15041	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; Sec61 translocon complex [GO:0005784]; identical protein binding [GO:0042802]; apoptotic process [GO:0006915]; cotranslational protein targeting to membrane [GO:0006613]; endoplasmic reticulum tubular network formation [GO:0071787]; endoplasmic reticulum tubular network membrane organization [GO:1990809]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; positive regulation of L-glutamate transport [GO:0002038]	Q15041
P05141	extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; MMXD complex [GO:0071817]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; adenine transmembrane transporter activity [GO:0015207]; ATP:ADP antiporter activity [GO:0005471]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; chromosome segregation [GO:0007059]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; positive regulation of cell proliferation [GO:0008284]; regulation of insulin secretion [GO:0050796]; transport [GO:0006810]; viral process [GO:0016032]	P05141
P12236	extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane presequence translocase complex [GO:0005744]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; adenine transmembrane transporter activity [GO:0015207]; ATP:ADP antiporter activity [GO:0005471]; active induction of host immune response by virus [GO:0046732]; apoptotic process [GO:0006915]; protein targeting to mitochondrion [GO:0006626]; regulation of insulin secretion [GO:0050796]; regulation of mitochondrial membrane permeability [GO:0046902]	P12236
P30837	intracellular membrane-bounded organelle [GO:0043231]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; ethanol catabolic process [GO:0006068]; ethanol oxidation [GO:0006069]	P30837
C9JRZ8	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; estrogen biosynthetic process [GO:0006703]	C9JRZ8
