Counter,Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# Peptides A2,# Peptides B2,# Peptides C2,# PSM A2,# PSM B2,# PSM C2,Coverage A2,Coverage B2,Coverage C2,Score A2,Score B2,Score C2,# AAs,MW [kDa],calc. pI
1,O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1 - [SYNC_HUMAN]",1.46%,1,1,1,1,,1,,,1,,,1.46%,,,0,,548,62.9,6.25
1,P17174,"Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3 - [AATC_HUMAN]",3.15%,1,1,1,1,,,1,,,1,,,3.15%,,,0,413,46.2,7.01
1,P00505,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3 - [AATM_HUMAN]",10.93%,1,3,3,4,,,3,,,4,,,10.93%,,,0,430,47.5,9.01
1,P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2 - [SYDC_HUMAN]",2.40%,1,1,1,7,1,1,1,3,3,1,2.40%,2.40%,2.40%,0,0,0,501,57.1,6.55
1,Q9UBB4,Ataxin-10 OS=Homo sapiens GN=ATXN10 PE=1 SV=1 - [ATX10_HUMAN],3.58%,1,1,1,2,,1,,,2,,,3.58%,,,0,,475,53.5,5.25
1,P54252,Ataxin-3 OS=Homo sapiens GN=ATXN3 PE=1 SV=4 - [ATX3_HUMAN],7.42%,1,2,2,2,,1,1,,1,1,,3.85%,3.57%,,0,0,364,41.8,4.91
1,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]",8.32%,1,3,3,5,1,2,2,1,2,2,2.53%,5.79%,5.79%,0,0,0,553,59.7,9.13
1,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]",4.73%,1,2,2,4,1,1,1,1,2,1,2.27%,2.46%,2.27%,0,0,0,529,56.5,5.4
1,O75947,"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3 - [ATP5H_HUMAN]",5.59%,1,1,1,1,,,1,,,1,,,5.59%,,,0,161,18.5,5.3
1,O75964,"ATP synthase subunit g, mitochondrial OS=Homo sapiens GN=ATP5L PE=1 SV=3 - [ATP5L_HUMAN]",14.56%,1,1,1,2,1,1,,1,1,,14.56%,14.56%,,0,0,,103,11.4,9.64
1,P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1 - [ATPO_HUMAN]",13.62%,1,2,2,2,1,,1,1,,1,5.63%,,7.98%,0,,0,213,23.3,9.96
1,Q9NW81,ATP synthase subunit s-like protein OS=Homo sapiens GN=ATP5SL PE=1 SV=3 - [AT5SL_HUMAN],4.67%,1,1,1,2,1,,1,1,,1,4.67%,,4.67%,0,,0,257,29.2,6.43
1,Q99758,ATP-binding cassette sub-family A member 3 OS=Homo sapiens GN=ABCA3 PE=1 SV=2 - [ABCA3_HUMAN],1.00%,1,1,1,1,,,1,,,1,,,1.00%,,,0,1704,191.2,7.62
1,O75027,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2 - [ABCB7_HUMAN]",1.06%,1,1,1,1,,,1,,,1,,,1.06%,,,0,752,82.6,9.33
1,P28288,ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1 - [ABCD3_HUMAN],2.58%,1,1,1,2,1,1,,1,1,,2.58%,2.58%,,0,0,,659,75.4,9.36
1,Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2 - [ABCF1_HUMAN],1.18%,1,1,1,4,1,1,,1,3,,1.18%,1.18%,,0,0,,845,95.9,6.8
1,P53396,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3 - [ACLY_HUMAN],1.82%,1,2,2,2,,,2,,,2,,,1.82%,,,0,1101,120.8,7.33
1,P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6 - [PFKAL_HUMAN]",2.31%,1,1,1,1,1,,,1,,,2.31%,,,0,,,780,85,7.5
1,Q08211,ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4 - [DHX9_HUMAN],7.80%,1,8,8,11,1,2,7,1,2,8,0.87%,2.20%,6.46%,0,0,0,1270,140.9,6.84
1,Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2 - [DDX18_HUMAN],2.39%,1,1,1,1,,,1,,,1,,,2.39%,,,0,670,75.4,9.5
1,Q9GZR7,ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1 - [DDX24_HUMAN],6.05%,1,2,2,2,,1,1,,1,1,,1.98%,4.07%,,0,0,859,96.3,9.06
1,O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3 - [DDX3X_HUMAN],1.81%,1,1,1,2,,1,1,,1,1,,1.81%,1.81%,,0,0,662,73.2,7.18
1,Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1 - [DDX42_HUMAN],1.71%,1,1,1,1,,,1,,,1,,,1.71%,,,0,938,102.9,7.02
1,Q96S55,ATPase WRNIP1 OS=Homo sapiens GN=WRNIP1 PE=1 SV=2 - [WRIP1_HUMAN],6.77%,1,4,4,6,,2,3,,2,4,,4.21%,4.51%,,0,0,665,72.1,6.1
1,Q96GD4,Aurora kinase B OS=Homo sapiens GN=AURKB PE=1 SV=3 - [AURKB_HUMAN],4.65%,1,1,1,1,,,1,,,1,,,4.65%,,,0,344,39.3,9.29
1,P51572,B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3 - [BAP31_HUMAN],6.91%,1,1,1,1,,,1,,,1,,,6.91%,,,0,246,28,8.44
1,Q9NR09,Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens GN=BIRC6 PE=1 SV=2 - [BIRC6_HUMAN],0.25%,1,1,1,2,,1,1,,1,1,,0.25%,0.25%,,0,0,4857,529.9,6.05
1,Q9HCM4,Band 4.1-like protein 5 OS=Homo sapiens GN=EPB41L5 PE=1 SV=3 - [E41L5_HUMAN],2.05%,1,1,1,1,,,1,,,1,,,2.05%,,,0,733,81.8,6.58
1,O75531,Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1 - [BAF_HUMAN],13.48%,1,1,1,1,,,1,,,1,,,13.48%,,,0,89,10.1,6.09
1,P55061,Bax inhibitor 1 OS=Homo sapiens GN=TMBIM6 PE=1 SV=2 - [BI1_HUMAN],3.80%,1,1,1,1,,1,,,1,,,3.80%,,,0,,237,26.5,8.54
1,Q9NYF8,Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2 - [BCLF1_HUMAN],0.98%,1,1,1,1,,,1,,,1,,,0.98%,,,0,920,106.1,9.98
1,Q6W2J9,BCL-6 corepressor OS=Homo sapiens GN=BCOR PE=1 SV=1 - [BCOR_HUMAN],0.85%,1,2,2,8,1,2,1,2,4,2,0.85%,0.85%,0.80%,0,0,0,1755,192.1,6.48
1,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2 - [ACTBL_HUMAN],15.43%,1,1,4,10,3,2,2,4,3,3,10.64%,7.18%,7.71%,0,0,0,376,42,5.59
1,P55957,BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1 - [BID_HUMAN],5.64%,1,1,1,1,,1,,,1,,,5.64%,,,0,,195,22,5.44
1,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 - [SYEP_HUMAN],0.99%,1,1,1,2,,1,1,,1,1,,0.99%,0.99%,,0,0,1512,170.5,7.33
1,P31939,Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3 - [PUR9_HUMAN],2.20%,1,1,1,2,1,,1,1,,1,2.20%,,2.20%,0,,0,592,64.6,6.71
1,Q13867,Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1 - [BLMH_HUMAN],1.98%,1,1,1,1,,,1,,,1,,,1.98%,,,0,455,52.5,6.27
1,Q969J3,BLOC-1-related complex subunit 5 OS=Homo sapiens GN=BORCS5 PE=1 SV=1 - [BORC5_HUMAN],8.16%,1,1,1,1,,,1,,,1,,,8.16%,,,0,196,22.2,6.35
1,Q9H3K6,BolA-like protein 2 OS=Homo sapiens GN=BOLA2 PE=1 SV=1 - [BOLA2_HUMAN],10.47%,1,1,1,1,,,1,,,1,,,10.47%,,,0,86,10.1,6.52
1,P80723,Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2 - [BASP1_HUMAN],13.22%,1,2,2,3,,,2,,,3,,,13.22%,,,0,227,22.7,4.63
1,Q96RL1,BRCA1-A complex subunit RAP80 OS=Homo sapiens GN=UIMC1 PE=1 SV=2 - [UIMC1_HUMAN],4.45%,1,2,2,2,1,,1,1,,1,1.67%,,2.78%,0,,0,719,79.7,5.45
1,Q7Z569,BRCA1-associated protein OS=Homo sapiens GN=BRAP PE=1 SV=2 - [BRAP_HUMAN],11.32%,1,3,3,3,1,1,1,1,1,1,4.73%,6.59%,3.21%,0,0,0,592,67.3,5.92
1,Q5TH69,Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens GN=ARFGEF3 PE=1 SV=3 - [BIG3_HUMAN],0.60%,1,1,1,1,1,,,1,,,0.60%,,,0,,,2177,240.5,5.82
1,Q9ULD4,Bromodomain and PHD finger-containing protein 3 OS=Homo sapiens GN=BRPF3 PE=1 SV=2 - [BRPF3_HUMAN],0.58%,2,1,1,1,,,1,,,1,,,0.58%,,,0,1205,135.7,6.58
1,Q6RI45,Bromodomain and WD repeat-containing protein 3 OS=Homo sapiens GN=BRWD3 PE=1 SV=2 - [BRWD3_HUMAN],1.00%,1,1,1,2,,,1,,,2,,,1.00%,,,0,1802,203.5,7.84
1,Q9H0C5,BTB/POZ domain-containing protein 1 OS=Homo sapiens GN=BTBD1 PE=1 SV=1 - [BTBD1_HUMAN],4.36%,1,1,1,1,,,1,,,1,,,4.36%,,,0,482,52.7,6.1
1,Q9BX70,BTB/POZ domain-containing protein 2 OS=Homo sapiens GN=BTBD2 PE=1 SV=1 - [BTBD2_HUMAN],2.10%,1,1,1,1,,,1,,,1,,,2.10%,,,0,525,55.9,5.9
1,Q8WVV5,Butyrophilin subfamily 2 member A2 OS=Homo sapiens GN=BTN2A2 PE=1 SV=2 - [BT2A2_HUMAN],1.91%,2,1,1,1,,,1,,,1,,,1.91%,,,0,523,59,6.01
1,Q13895,Bystin OS=Homo sapiens GN=BYSL PE=1 SV=3 - [BYST_HUMAN],5.03%,1,2,2,9,1,1,2,2,4,3,2.97%,2.97%,5.03%,0,0,0,437,49.6,8.12
1,P11586,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3 - [C1TC_HUMAN]",5.45%,1,3,3,13,3,1,2,5,2,6,5.45%,2.57%,4.28%,0,0,0,935,101.5,7.3
1,Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens GN=CELSR2 PE=1 SV=1 - [CELR2_HUMAN],0.44%,1,1,1,1,,1,,,1,,,0.44%,,,0,,2923,317.3,5.31
1,Q13137,Calcium-binding and coiled-coil domain-containing protein 2 OS=Homo sapiens GN=CALCOCO2 PE=1 SV=1 - [CACO2_HUMAN],6.05%,1,1,1,2,,1,,,2,,,6.05%,,,0,,446,52.2,5.02
1,Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2 - [CMC2_HUMAN],2.37%,1,1,1,2,,1,1,,1,1,,2.37%,2.37%,,0,0,675,74.1,8.62
1,Q9HB71,Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2 - [CYBP_HUMAN],8.77%,1,1,1,1,,,1,,,1,,,8.77%,,,0,228,26.2,8.25
1,P62158,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2 - [CALM_HUMAN],16.11%,1,1,1,2,1,,1,1,,1,16.11%,,16.11%,0,,0,149,16.8,4.22
1,P27824,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2 - [CALX_HUMAN],1.69%,1,1,1,1,,1,,,1,,,1.69%,,,0,,592,67.5,4.6
1,P04632,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1 - [CPNS1_HUMAN],24.63%,1,2,2,3,1,1,,2,1,,19.03%,5.60%,,0,0,,268,28.3,5.2
1,P27797,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1 - [CALR_HUMAN],8.39%,1,3,3,4,,1,3,,1,3,,3.12%,8.39%,,0,0,417,48.1,4.44
1,P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1 - [KAP0_HUMAN],8.40%,1,2,2,2,1,,1,1,,1,3.15%,,5.25%,0,,0,381,43,5.35
1,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2 - [CPSM_HUMAN]",1.20%,1,1,1,1,,,1,,,1,,,1.20%,,,0,1500,164.8,6.74
1,P16152,Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3 - [CBR1_HUMAN],2.53%,1,1,1,2,,1,1,,1,1,,2.53%,2.53%,,0,0,277,30.4,8.32
1,Q96DG6,Carboxymethylenebutenolidase homolog OS=Homo sapiens GN=CMBL PE=1 SV=1 - [CMBL_HUMAN],4.90%,1,1,1,1,,,1,,,1,,,4.90%,,,0,245,28,7.18
1,P51878,Caspase-5 OS=Homo sapiens GN=CASP5 PE=1 SV=3 - [CASP5_HUMAN],4.84%,1,1,1,1,1,,,1,,,4.84%,,,0,,,434,49.7,9.16
1,Q9BXF3,Cat eye syndrome critical region protein 2 OS=Homo sapiens GN=CECR2 PE=1 SV=2 - [CECR2_HUMAN],1.08%,1,1,1,1,,,1,,,1,,,1.08%,,,0,1484,164.1,6.98
1,O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 - [CTND1_HUMAN],1.03%,1,1,1,4,1,1,1,1,1,2,1.03%,1.03%,1.03%,0,0,0,968,108.1,6.23
1,P52569,Cationic amino acid transporter 2 OS=Homo sapiens GN=SLC7A2 PE=1 SV=2 - [CTR2_HUMAN],12.61%,1,5,5,11,2,2,4,3,3,5,3.65%,4.26%,10.94%,0,0,0,658,71.6,7.28
1,Q03701,CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3 - [CEBPZ_HUMAN],1.04%,1,1,1,1,1,,,1,,,1.04%,,,0,,,1054,120.9,5.94
1,A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2 - [CNOT1_HUMAN],0.63%,1,1,1,1,,,1,,,1,,,0.63%,,,0,2376,266.8,7.11
1,Q9UKZ1,CCR4-NOT transcription complex subunit 11 OS=Homo sapiens GN=CNOT11 PE=1 SV=1 - [CNO11_HUMAN],3.73%,1,1,1,1,1,,,1,,,3.73%,,,0,,,510,55.2,6.4
1,O75175,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens GN=CNOT3 PE=1 SV=1 - [CNOT3_HUMAN],1.73%,1,1,1,1,1,,,1,,,1.73%,,,0,,,753,81.8,6.2
1,P48509,CD151 antigen OS=Homo sapiens GN=CD151 PE=1 SV=3 - [CD151_HUMAN],3.56%,1,1,1,1,,,1,,,1,,,3.56%,,,0,253,28.3,7.47
1,Q9NRR8,CDC42 small effector protein 1 OS=Homo sapiens GN=CDC42SE1 PE=1 SV=1 - [C42S1_HUMAN],15.19%,1,1,1,1,,,1,,,1,,,15.19%,,,0,79,8.9,9.99
1,Q96JB5,CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2 - [CK5P3_HUMAN],6.92%,1,2,2,5,1,2,1,1,3,1,3.56%,6.92%,3.56%,0,0,0,506,56.9,4.75
1,Q9BY67,Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=2 - [CADM1_HUMAN],5.88%,1,1,1,3,1,,1,2,,1,5.88%,,5.88%,0,,0,442,48.5,5.07
1,O60671,Cell cycle checkpoint protein RAD1 OS=Homo sapiens GN=RAD1 PE=1 SV=1 - [RAD1_HUMAN],4.61%,1,1,1,2,,1,,,2,,,4.61%,,,0,,282,31.8,4.83
1,Q92600,Cell differentiation protein RCD1 homolog OS=Homo sapiens GN=RQCD1 PE=1 SV=1 - [RCD1_HUMAN],7.02%,1,1,1,3,,1,1,,1,2,,7.02%,7.02%,,0,0,299,33.6,8.03
1,P60953,Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2 - [CDC42_HUMAN],9.42%,1,1,1,2,,1,,,2,,,9.42%,,,0,,191,21.2,6.55
1,Q99459,Cell division cycle 5-like protein OS=Homo sapiens GN=CDC5L PE=1 SV=2 - [CDC5L_HUMAN],1.87%,1,1,1,1,,,1,,,1,,,1.87%,,,0,802,92.2,8.18
1,Q12834,Cell division cycle protein 20 homolog OS=Homo sapiens GN=CDC20 PE=1 SV=2 - [CDC20_HUMAN],2.81%,1,1,1,1,,,1,,,1,,,2.81%,,,0,499,54.7,9.23
1,Q9UJX2,Cell division cycle protein 23 homolog OS=Homo sapiens GN=CDC23 PE=1 SV=3 - [CDC23_HUMAN],2.35%,1,1,1,1,,,1,,,1,,,2.35%,,,0,597,68.8,7.02
1,P04637,Cellular tumor antigen p53 OS=Homo sapiens GN=TP53 PE=1 SV=4 - [P53_HUMAN],6.62%,1,2,2,2,,2,,,2,,,6.62%,,,0,,393,43.6,6.79
1,Q9H3R5,Centromere protein H OS=Homo sapiens GN=CENPH PE=1 SV=1 - [CENPH_HUMAN],6.88%,1,1,1,2,,1,1,,1,1,,6.88%,6.88%,,0,0,247,28.5,5.29
1,Q9UPN4,Centrosomal protein of 131 kDa OS=Homo sapiens GN=CEP131 PE=1 SV=3 - [CP131_HUMAN],1.29%,1,1,1,1,,,1,,,1,,,1.29%,,,0,1083,122.1,8.69
1,Q53EZ4,Centrosomal protein of 55 kDa OS=Homo sapiens GN=CEP55 PE=1 SV=3 - [CEP55_HUMAN],3.45%,1,1,1,1,1,,,1,,,3.45%,,,0,,,464,54.1,7.01
1,Q96G23,Ceramide synthase 2 OS=Homo sapiens GN=CERS2 PE=1 SV=1 - [CERS2_HUMAN],3.42%,1,1,1,1,,1,,,1,,,3.42%,,,0,,380,44.8,8.98
1,Q8N5B7,Ceramide synthase 5 OS=Homo sapiens GN=CERS5 PE=2 SV=1 - [CERS5_HUMAN],4.08%,1,1,1,1,,,1,,,1,,,4.08%,,,0,392,45.7,7.97
1,Q96S66,Chloride channel CLIC-like protein 1 OS=Homo sapiens GN=CLCC1 PE=1 SV=1 - [CLCC1_HUMAN],3.27%,1,1,1,1,1,,,1,,,3.27%,,,0,,,551,62,5.55
1,O00299,Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4 - [CLIC1_HUMAN],3.32%,1,1,1,4,1,1,1,1,1,2,3.32%,3.32%,3.32%,0,0,0,241,26.9,5.17
1,P51797,Chloride transport protein 6 OS=Homo sapiens GN=CLCN6 PE=1 SV=2 - [CLCN6_HUMAN],1.50%,1,1,1,1,,,1,,,1,,,1.50%,,,0,869,97.2,6.81
1,Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2 - [CHD4_HUMAN],0.94%,1,1,1,3,1,1,,2,1,,0.94%,0.94%,,0,0,,1912,217.9,5.86
1,Q9HCK8,Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens GN=CHD8 PE=1 SV=5 - [CHD8_HUMAN],0.31%,4,1,1,1,,,1,,,1,,,0.31%,,,0,2581,290.3,6.47
1,O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3 - [KIF4A_HUMAN],2.27%,2,2,2,4,1,1,1,2,1,1,1.22%,1.06%,1.22%,0,1.61,0,1232,139.8,6.27
1,Q96G28,Cilia- and flagella-associated protein 36 OS=Homo sapiens GN=CFAP36 PE=1 SV=2 - [CFA36_HUMAN],4.68%,1,1,1,2,1,1,,1,1,,4.68%,4.68%,,0,0,,342,39.4,4.97
1,O75390,"Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2 - [CISY_HUMAN]",10.94%,1,2,2,4,1,1,2,1,1,2,2.58%,2.58%,10.94%,0,0,0,466,51.7,8.32
1,Q00610,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5 - [CLH1_HUMAN],6.93%,2,8,8,16,5,2,5,6,4,6,4.96%,1.55%,3.52%,0,0,1.68,1675,191.5,5.69
1,Q14677,Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1 - [EPN4_HUMAN],8.96%,1,4,4,4,,,4,,,4,,,8.96%,,,0,625,68.2,6.42
1,O43809,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1 - [CPSF5_HUMAN],13.22%,1,2,2,5,2,,1,4,,1,13.22%,,6.61%,0,,0,227,26.2,8.82
1,Q16630,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=1 SV=2 - [CPSF6_HUMAN],3.99%,1,1,1,1,1,,,1,,,3.99%,,,0,,,551,59.2,7.15
1,O75153,Clustered mitochondria protein homolog OS=Homo sapiens GN=CLUH PE=1 SV=2 - [CLU_HUMAN],1.38%,1,1,1,1,,,1,,,1,,,1.38%,,,0,1309,146.6,6.13
1,P12259,Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4 - [FA5_HUMAN],0.58%,1,1,1,1,,1,,,1,,,0.58%,,,0,,2224,251.5,6.05
1,P53621,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2 - [COPA_HUMAN],0.65%,1,1,1,2,,1,1,,1,1,,0.65%,0.65%,,0,0,1224,138.3,7.66
1,P35606,Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2 - [COPB2_HUMAN],0.99%,1,1,1,1,,1,,,1,,,0.99%,,,0,,906,102.4,5.27
1,P48444,Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1 - [COPD_HUMAN],2.74%,1,1,1,1,,1,,,1,,,2.74%,,,0,,511,57.2,6.21
1,Q9Y678,Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1 - [COPG1_HUMAN],2.75%,2,2,2,2,1,,1,1,,1,1.37%,,1.37%,0,,0,874,97.7,5.47
1,P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN],10.24%,2,1,1,1,,1,,,1,,,10.24%,,,0,,166,18.5,8.09
1,Q569K6,Coiled-coil domain-containing protein 157 OS=Homo sapiens GN=CCDC157 PE=2 SV=3 - [CC157_HUMAN],1.73%,1,1,1,1,1,,,1,,,1.73%,,,0,,,752,83.9,7.15
1,Q8IVM0,Coiled-coil domain-containing protein 50 OS=Homo sapiens GN=CCDC50 PE=1 SV=1 - [CCD50_HUMAN],8.17%,1,2,2,4,2,,1,3,,1,8.17%,,5.23%,0,,0,306,35.8,6.65
1,Q96BP2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 OS=Homo sapiens GN=CHCHD1 PE=1 SV=1 - [CHCH1_HUMAN],10.17%,1,1,1,1,,,1,,,1,,,10.17%,,,0,118,13.5,10.21
1,O75534,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2 - [CSDE1_HUMAN],4.01%,1,2,2,2,,1,1,,1,1,,2.38%,1.63%,,0,0,798,88.8,6.25
1,P08174,Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4 - [DAF_HUMAN],3.94%,1,1,1,1,,,1,,,1,,,3.94%,,,0,381,41.4,7.59
1,Q15021,Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3 - [CND1_HUMAN],2.93%,1,2,2,3,,2,1,,2,1,,2.93%,1.36%,,0,0,1401,157.1,6.61
1,Q9BPX3,Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1 - [CND3_HUMAN],1.48%,1,1,1,2,1,,1,1,,1,1.48%,,1.48%,0,,0,1015,114.3,5.59
1,Q8WTW3,Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1 - [COG1_HUMAN],1.43%,1,1,1,1,,,1,,,1,,,1.43%,,,0,980,108.9,7.31
1,Q9UNS2,COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3 - [CSN3_HUMAN],8.51%,1,2,2,2,,2,,,2,,,8.51%,,,0,,423,47.8,6.65
1,Q9BT78,COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=1 SV=1 - [CSN4_HUMAN],3.69%,1,1,1,1,,,1,,,1,,,3.69%,,,0,406,46.2,5.83
1,Q9UBW8,COP9 signalosome complex subunit 7a OS=Homo sapiens GN=COPS7A PE=1 SV=1 - [CSN7A_HUMAN],6.55%,1,1,1,1,,,1,,,1,,,6.55%,,,0,275,30.3,8.22
1,O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4 - [H2AY_HUMAN],18.55%,1,7,8,80,4,4,7,34,17,29,12.90%,10.22%,18.28%,0,0,0,372,39.6,9.79
1,Q9P0M6,Core histone macro-H2A.2 OS=Homo sapiens GN=H2AFY2 PE=1 SV=3 - [H2AW_HUMAN],6.99%,1,1,2,2,,1,1,,1,1,,2.42%,4.57%,,0,0,372,40,9.69
1,P60606,Cortexin-1 OS=Homo sapiens GN=CTXN1 PE=3 SV=1 - [CTXN1_HUMAN],18.29%,1,1,1,1,,1,,,1,,,18.29%,,,0,,82,9,5.24
1,Q9UEE9,Craniofacial development protein 1 OS=Homo sapiens GN=CFDP1 PE=1 SV=1 - [CFDP1_HUMAN],4.35%,1,1,1,1,,,1,,,1,,,4.35%,,,0,299,33.6,4.81
1,P12277,Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1 - [KCRB_HUMAN],35.70%,1,8,8,15,2,4,4,2,4,9,8.92%,21.00%,17.85%,0,0,0,381,42.6,5.59
1,P17812,CTP synthase 1 OS=Homo sapiens GN=CTPS1 PE=1 SV=2 - [PYRG1_HUMAN],3.05%,1,1,1,1,,1,,,1,,,3.05%,,,0,,591,66.6,6.46
1,Q13619,Cullin-4A OS=Homo sapiens GN=CUL4A PE=1 SV=3 - [CUL4A_HUMAN],1.45%,2,1,1,1,,1,,,1,,,1.45%,,,0,,759,87.6,8.13
1,Q93034,Cullin-5 OS=Homo sapiens GN=CUL5 PE=1 SV=4 - [CUL5_HUMAN],1.54%,1,1,1,12,1,1,1,3,3,6,1.54%,1.54%,1.54%,2.15,0,0,780,90.9,7.94
1,Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2 - [CAND1_HUMAN],2.68%,1,2,2,4,1,1,2,1,1,2,1.95%,0.73%,2.68%,0,0,0,1230,136.3,5.78
